"id","style"
1436,"Collector's Edition"
1437,"Collector's Edition"
1438,"Collector's Edition"
1439,"Collector's Edition"
1440,"Collector's Edition"
1441,"Collector's Edition"
1442,"Signature Series"
1443,"Signature Series"
1444,"Collector's Edition"
1445,"Collector's Edition"
1446,"Signature Series"
1447,"Collector's Edition"
1448,"Collector's Edition"
1449,"Fine Art"
1450,"Fine Art"
1451,"Fine Art"
1452,"Fine Art"
1453,"Signature Series"
1454,"Collector's Edition"
1455,"Signature Series"
1456,"Signature Series"
1457,"Signature Series"
1458,"Collector's Edition"
1459,"Signature Series"
1460,"Collector's Edition"
1461,"Collector's Edition"
1462,"Collector's Edition"
1463,"Collector's Edition"
1464,"Collector's Edition"
1465,"Fine Art"
1466,"Fine Art"
1467,"Collector's Edition"
1468,"Collector's Edition"
1469,"Fine Art"
1470,"Fine Art"
1471,"Fine Art"
1472,"Fine Art"
1473,"Fine Art"
1474,"Collector's Edition"
1475,"Collector's Edition"
1476,"Collector's Edition"
1477,"Fine Art"
1478,"Signature Series"
1479,"Signature Series"
