"id","name","subdomain","site","phone","addr1","addr2","city","state","zip","notes","discount_code","discount_rate","created_at","updated_at","species","email","contact","facility"
221,"Forever Friends Pet","foreverfriendspets","","920-884-6060","","","","WI","","","","","2010-03-02 16:22:14","2010-03-02 16:22:14","pet","dave@foreverfriendspets.com","",""
222,"Forever Pals ","foreverpalstx","","281-731-6956","747 FM 1489","","Brookshire","TX",77423,"","","","2010-03-02 17:15:12","2010-03-02 17:17:50","pet","abuyer.consolidated.net","Jeff",""
223,"Jacksonville Pet Cemetery & Cremator","jacksonepet","","904-724-5556","","","","FL",32216,"","","","2010-03-02 18:57:42","2010-03-02 18:57:42","pet","","James Hughey",""
226,"Western Farm Pet Crematory &Cemetery","westernfarm","","","12521 Island Rd.","","Grafton","OH",44044,"","","","2010-03-02 20:24:52","2010-03-02 20:24:52","pet","wfpc@westernfarmpc.com","Brian West",""
227,"Paw Prints Pet Services","pawprints","www.pawprintspetcremation.com","434-822-7722","525 Chaeys Store Rd.","","Ringgold ","VA",24586,"","","","2010-03-04 15:43:48","2010-03-04 15:43:48","pet","pawprintspetcremation@yohoo.com","Sherri",""
229,"Angels on Earth Pet Memorial Chapel","angelsonearth","","216-210-5096","726 Riverside Dr.","","Painesville","OH",44077,"Tina & Sutty","","","2010-03-18 21:22:33","2010-03-18 21:22:33","pet","potunia@aol.com","Sutton J. Girod",""
230,"Johnson County Funeral Chapel","johnsoncounty","","913-451-1860","11200 Metcalf Ave.","","Overland Park","KS",66210,"",16311,50,"2010-03-26 12:55:24","2011-05-23 12:57:51","human","mketcham@stei.com","Mandi Meyers - Manager",16311
232,"El Camino Memorial Park","elcaminomemorialp","","800-352-2646","5600 Carrol Canyon","","San Diego ","CA",921221,"","",50,"2010-03-31 16:55:19","2011-11-01 02:30:44","human","","Megan Crouch",05011
233,"Kuehl-Nicolay Funerals & Cremations","kuehl-nicolayfunerals","KuehlNicolayfuneralHome.com","805-238-4383","1703 Spring Street","","Paso Robles","CA",93446,"Stewart Services
Kristin Ball","",50,"2010-04-01 14:25:59","2011-04-04 22:41:31","human","","",05336
234,"Evergreen Cremation Service","evergreencremation","","559-233-3003","920 south Parallel Avenue","","Fresno","CA",93721,"Stewart Services","",50,"2010-04-01 14:28:29","2010-04-01 14:28:29","human","","",05337
235,"Dilday Brothers Funeral Directors","dildaybrothersfuneral","DildayBrothers.com","714-842-7771","17911 Beach Boulevard","","Huntington Beach","CA",92647,"Stewart Services","",50,"2010-04-01 14:38:53","2010-04-01 14:38:53","human","","",05361
236,"Lassila Funeral Chapel","lassilafuneral","LassilaFuneralChapels.com","530-885-6271","551 Grass Valley Highway","","Auburn","CA",95603,"Stewart Services","",50,"2010-04-01 14:41:29","2010-04-01 14:41:29","human","","",05391
237,"Lassila-Lincoln Funeral Chapel","lassilalincolnfuneral","LassilaFuneralChapels.com","916-645-2347","406 H Street","","Lincoln","CA",95648,"Stewart Services","",50,"2010-04-01 14:43:41","2010-04-01 14:43:41","human","","",05392
238,"Davis Memorial Chapel","davismemorial","DavisMemorialchapel.com","831-724-4751","609 Main Street","","Watsonville","CA",95076,"Stewart Services","",50,"2010-04-01 14:45:00","2010-04-01 14:45:00","human","","",05411
239,"Halley-Olsen-Murphy Funerals & Cremations - Lancaster","homlancaster","HOMLancaster.com","661-942-1139","44802 Date Avenue","","Lancaster","CA",93534,"Stewart Services","",50,"2010-04-01 14:47:53","2010-04-01 14:47:53","human","","",05461
240,"Halley-Olsen-Murphy Funerals & Cremations - Palmdale","hompalmdale","HOMPalmdale.com","661-947-4155","6150 East Palmdale Boulevard","","Palmdale","CA",93550,"Stewart Services","",50,"2010-04-01 14:49:52","2010-04-01 14:49:52","human","","",05462
241,"Stickel Mortuary","stickelmortuary","SimoleTribute.com","661-824-2328","2201 Inyo Street","","Mojave","CA",93501,"Stewart Services","",50,"2010-04-01 14:52:02","2010-04-01 14:52:02","human","","",05463
242,"El Camino Memorial - Sorrento Valley","elcaminosorrento","SorrentoValleyChapel.com","800-352-2646","5600 Carroll Canyon Road","","San Diego","CA",92121,"Stewart Services","",50,"2010-04-01 14:53:45","2010-04-01 14:53:45","human","","",05481
243,"El Camino Memorial - National City","elcaminonational","NationalCityChapel.com","619-474-6565","607 National City Boulevard","","National City","CA",91950,"Stewart Services","",50,"2010-04-01 14:55:20","2010-04-01 14:55:20","human","","",05483
244,"El Camino Memorial - Imperial Avenue","elcaminoimperial","ImperialAvernueChapel.com","619-264-3168","3953 Imperial Avenue at 40th Street","","San Diego","CA",92113,"Stewart Services","",50,"2010-04-01 14:56:37","2010-04-01 14:56:37","human","","",05484
245,"El Camino Memorial - Encinitas","elcaminoencinitas","EncinitasChapel.com","760-753-1143","340 Melrose Avenue","","Encinitas","CA",92024,"Stewart Services","",50,"2010-04-01 14:58:05","2010-04-01 14:58:05","human","","",05485
246,"El Camino Memorial - La Mesa","elcaminolamesa","LaMesaChapel.com","619-466-3297","8390 Allison Avenue","","La Mesa","CA",91941,"Stewart Services","",50,"2010-04-01 14:59:30","2011-11-01 01:44:51","human","","",05486
247,"El Camino Memorial - Pacific Beach","elcaminopacific","PacificBeachChapel.com","858-488-5553","4710 Cass Street","","San Diego","CA",92109,"Stewart Services","",50,"2010-04-01 15:01:06","2010-04-01 15:01:06","human","","",05487
250,"Neptune Society of Northern California - Livermore","neptunelivermore","Neptune-Society.com","925-454-1974","2177 Las Positas Court","Suite k","Livermore","CA",94551,"Stewart Services","",50,"2010-04-01 15:03:54","2010-04-01 15:03:54","human","","",05511
251,"Neptune Society of Northern California - Belmont","neptunebelmont","Neptune-Society.com","650-592-9880","1645 El Camino Real","","Belmont","CA",94002,"Stewart Services","",50,"2010-04-01 15:05:18","2010-04-01 15:05:18","human","","",05513
252,"Neptune Society of Northern California - Castro Valley","neptunecastro","Neptune-Society.com","510-889-7110","2419 Grove Way","","Castro Valley","CA",94546,"Stewart Services","",50,"2010-04-01 15:07:08","2010-04-01 15:07:08","human","","",05514
253,"Neptune Society of Northern California - Chico","neptunechico","neptune-Society.com","530-345-7200","1353 East 8th Street","","Chico","CA",95928,"Stewart Services","",50,"2010-04-01 15:08:26","2010-04-01 15:08:26","human","","",05515
254,"Neptune Society of Northern California - Marin County","neptunemarin","Neptune-Society.com","415-898-1868","1780 Grant Avenue","","Novato","CA",94945,"Stewart Servies","",50,"2010-04-01 15:10:15","2012-06-04 17:20:25","human","","",05516
255,"Neptune Society of Northern California - Oakland","neptuneoakland","Neptune-Society.com","510-451-0887","490 Grand Avenue","Suite 215","Oakland","CA",94610,"Stewart Services","",50,"2010-04-01 15:12:09","2010-04-01 15:12:09","human","","",05517
256,"Neptune Society of Northern California - Sacramento","neptunesacramento","Neptune-Society.com","916-338-1111","5213 Garfield Avenue","","Sacramento","CA",95841,"Stewart Services","",50,"2010-04-01 15:13:38","2010-04-01 15:13:38","human","","",05518
257,"Neptune Society of Northern California - San Francisco","neptunesanfran","Neptune-Society.com","415-771-0717","One Loraine Court","","San Francisco","CA",94118,"Stewart Services","",50,"2010-04-01 15:15:01","2010-04-01 15:15:01","human","","",05519
258,"Neptune Society of Northern California - Santo Rosa","neptunesantarosa","Neptune-Society.com","707-525-9700","2607 Santa Rosa Avenue","","Santa Rosa","CA",95407,"Stewart Services","",50,"2010-04-01 15:50:11","2010-04-01 15:50:11","human","","",05221
259,"Neptune Society of Northern California - Stockton","neptunestockton","Neptune-Society.com","209-955-4090","1111 West Robinhood Dr.","Suite B-1","Stockton","CA",95207,"Stewart Services
","",50,"2010-04-01 15:58:00","2010-04-01 15:58:36","human","","",05522
260,"Neptune Society of Northern California - Walnut Creek","neptunewalnutcreek","Neptune-Society.com","925-944-5100","1855 Olympic Boulevard","Suite 110","Walnut Creek","CA",94596,"Stewart Services","",50,"2010-04-01 16:00:49","2010-04-01 16:00:49","human","","",05523
261,"Neptune Society of Northern California - Fairfield","neptunefairfield","Neptune-Society.com","707-422-4900","1261 Travis Boulevard","#160","Fairfield","CA",94533,"Stewart Services","",50,"2010-04-01 16:02:07","2010-04-01 16:02:44","human","","",05531
262,"Chapel of the Roses Funerals & Cremations","chapelofroses","ChapeloftheRosesAtascadero.com","805-466-1161","3450 El Camino Real","","Atascadero","CA",93422,"Stewart Services","",50,"2010-04-01 16:07:06","2010-04-01 16:07:06","human","","",05551
263,"Callanan Mortuary","callananmortuary","","800-901-0090","1301 North Western Avenue","","Los Angeles","CA",90027,"Stewart Services","",50,"2010-04-01 16:08:25","2010-04-01 16:08:25","human","","",05561
264,"Stricklin Snively Funerals & Cremations","stricklinsnively","StricklinSnivelyMortuary.com","562-426-3365","1952 Long Beach Boulevard","","Long Beach","CA",90806,"Stewart Services","",50,"2010-04-01 16:09:54","2010-04-01 16:09:54","human","","",05576
265,"Los Osos Valley Funerals & Cremations","losososvalley","LosOsosValleyMortuary.com","805-528-1500","2260 Los Osos Valley Road","","Los Osos","CA",93402,"Stewart Services","",50,"2010-04-01 16:11:44","2010-04-01 16:11:44","human","","",05596
266,"Myrtle Hill Memorial Park","myrtlehill","GardenofMemoriesTampa.com","813-626-3161","4202 East Lake Avenue","","Tampa","FL",33610,"Stewart Services","",50,"2010-04-01 16:13:14","2010-04-01 16:13:14","human","","",09052
267,"Blount & Curry Funeral Home - Oldsmar/West Hillsborough Chapel","blount&currywest","BlountCurryWest.com","813-814-4444","6802 Silvermill Drive","","Tampa","FL",33635,"Stewart Services","",50,"2010-04-01 16:15:09","2010-04-01 16:17:15","human","","",09313
268,"Blount & Curry Funeral Home - Terrace Oaks Chapel","bount&curryterrace","BlountCurryTerraceOaks.com","813-988-9200","12690 North 56th Street","","Tampa","FL",33617,"Stewart Services","",50,"2010-04-01 16:16:37","2010-04-01 16:16:37","human","","",09314
269,"All Faiths Cremation Society","allfaiths","","352-753-2612","2 La Grande Boulevard","","The Villages","FL",32159,"Stewart Services","",50,"2010-04-01 16:18:33","2010-04-01 16:18:33","human","","",09331
270,"All Faiths Funeral Alternatives & Cremation Service","allfaithsfuneral","","407-898-1698","4901 South Orange Avenue","","Orlando","FL",32806,"Stewart Services","",50,"2010-04-01 16:19:51","2010-04-01 16:19:51","human","","",09332
271,"Baldwin-Fairchild Funeral Home - Goldenrod Chapel","baldwin-fairchildgoldenrod","BaldwinFairchild.com","407-677-5091","7520 Aloma Avenue","","Winter Park","FL",32792,"Stewart Services","",50,"2010-04-01 16:22:50","2010-04-01 16:22:50","human","","",09333
272,"Baldwin-Fairchild Funeral Home - East Altamonte Chapel","baldwin-fairchildaltamonte","BaldwinFairchild.com","407-831-2031","994 East Altamonte Drive","","Altamonte Springs","FL",32701,"Stewart Services","",50,"2010-04-01 16:25:47","2010-04-01 16:25:47","human","","",09334
273,"Baldwin-Fairchild Funeral Home - Apopka Chapel","baldwin-fairchildapopka","BaldwinFairchild.com","407-886-1461","601 North Park Avenue","","Apopka","FL",32712,"Stewart Services","",50,"2010-04-01 16:27:14","2010-04-01 16:27:14","human","","",09335
274,"Baldwin-Fairchild Funeral Home - Ivanhoe Chapel","baldwin-fairchildivanhoe","BaldwinFairchild.com","407-898-8111","301 Northeast Ivanhoe Boulevard","","Orlando","FL",32804,"Stewart Services","",50,"2010-04-01 16:29:02","2010-04-01 16:29:02","human","","",09336
275,"Baldwin-Fairchild Funeral Home - Winter Garden Chapel","baldwin-fairchildwinter","BaldwinFairchild.com","407-656-2233","428 East Plant Street","","Winter Garden","FL",34787,"Stewart Services","",50,"2010-04-01 16:30:31","2010-04-01 16:30:31","human","","",09337
276,"Baldwin-Fairchild Funeral Home - Oakland Chapel","baldwin-fairchildoaklawn","BaldwinFairchild.com","407-322-4263","5000 County Road","46A","Sanford","FL",32771,"Stewart Services","",50,"2010-04-01 16:31:56","2010-04-01 16:32:33","human","","",09338
277,"Baldwin-Fairchild Funeral Home - Oviedo Chapel","baldwin-fairchildoviedo","BaldwinFairchild.com","407-366-8999","501 East Mitchell Hammock Road","","Oviedo","FL",32765,"Stewart Services","",50,"2010-04-01 16:34:09","2010-04-01 16:34:09","human","","",09339
278,"Baldwin-Fairchild Funeral Home - Conway Chapel","baldwin-fairchildconway","BaldwinFairchild.com","407-277-6700","1413 South Semoran Boulevard","","Orlando","FL",32807,"Stewart Services","",50,"2010-04-01 16:35:58","2010-04-01 16:35:58","human","BaldwinFairchild.com","",09341
279,"Baldwin-Fairchild Funeral Home - Pine Castle Chapel","baldwin-fairchildpine","BaldwinFairchild.com","407-855-5800","5800 Hansel Avenue","","Orlando","FL",32809,"Stewart Services","",50,"2010-04-01 16:37:25","2010-04-01 16:37:25","human","","",09342
280,"Blount & Curry Funeral Home - MacDill Avenue Chapel","blountcurrymacdill","blountCurryMacDill.com","813-876-2421","605 South MacDill Avenue","","Tampa","FL",33609,"Stewart Services","",50,"2010-04-01 16:39:00","2010-04-01 16:39:00","human","","",09361
281,"Blount & Curry Funeral Home - Carrollwood Chapel","blountcurrycarrollwood","BlountCurryCarrollwood.com","813-968-2231","3207 West Bearss Avenue","","Tampa","FL",33618,"Stewart Services","",50,"2010-04-01 16:40:29","2010-04-01 16:40:29","human","","",09375
282,"Wiegand Brothers Funeral Home and Crematory","wiegandbrothers","WiegandBrothers.com","941-921-5755","7454 South Tamiami Trail","","Sarasota","FL",34231,"Stewart Services","",50,"2010-04-01 16:42:07","2010-04-01 16:42:07","human","","",09376
283,"Kicliter Funeral Home","kicliterfuneral","KicliterFuneralHome.com","941-722-0204","517 8th Avenue West","","Palmetto","FL",34221,"Stewart Services","",50,"2010-04-01 17:44:27","2010-04-01 17:44:27","human","","",09391
284,"Forest Hills Palm City Chapel","foresthills","ForestHillsPalmCityFlorida.com","772-287-8484","2001 Southwest Murphy Road","","Palm City","FL",34990,"Stewart Services","",50,"2010-04-01 17:46:26","2010-04-01 17:46:26","human","","",09401
285,"Beach Memorial Chapel","beachmemorial","BeachMemorial.com","727-360-5577","301 Corey Avenue","","St. Pete Beach","FL",33706,"Stewart Services","",50,"2010-04-01 17:47:33","2010-04-01 17:47:33","human","","",09411
286,"Memorial Park Funeral Home","memorialpark","MemorialParkFuneralHome.com","727-527-1196","5750 49th Street North","","St. Petersburg","FL",33709,"Stewart Services","",50,"2010-04-01 17:49:05","2010-04-01 17:49:05","human","","",09413
287,"Roberts Funeral Home, Downtown Chapel","robertsfuneral","RobertsFuneralHomes.com","352-622-4141","606 Southwest 2nd Avenue","","Ocala","FL",34471,"Stewart Services","",50,"2010-04-01 17:50:26","2010-04-01 17:50:26","human","","",09421
288,"Balwin-Fairchild Funeral Home - West Altamonte Chapel","baldwin-fairchildwaltamonte","BaldwinFairchild.com","407-869-6065","622 West Highway 436","","Altamonte Springs","FL",32714,"Stewart Services","",50,"2010-04-01 17:51:56","2010-04-01 17:51:56","human","","",09441
289,"Sylvan Abbey Funeral Home","sylvanabbey","SylvanAbbey.com","727-796-1992","2853 Sunset Point Road","","Clearwater","FL",33759,"Stewart Services","",50,"2010-04-01 17:53:15","2010-04-01 17:53:15","human","","",09461
290,"Caballero Rivero Woodlawn Funeral Home - Kendall Chapel","caballeroriverowoodlawn","CaballeroRiveroWoodlawn.com","305-238-3672","11655 Southwest 117th Avenue","","Miami","FL",33186,"Stewart Services","",50,"2010-04-01 17:54:47","2012-02-18 20:49:18","human","","",09493
291,"Caballero Rivero Woodlawn Funeral Home - Miami Chapel","caballeromiami","CaballeroRiveroWoodlawn.com","305-445-9508","3344 Southwest 8th Street","","Miami","FL",33135,"Stewart Services
05/15/13 Put a display in the Woodlawn Cemetery Columbaria [ac].","",50,"2010-04-01 17:56:06","2013-05-15 18:57:04","human","","Larry Zimmerman - FDIC",09494
292,"Forest Hills Young & Prill Chapel","foresthillsyoung","YoungandPrill.com","772-223-9300","6801 Southeast Federal Highway","","Stuart","FL",34997,"Stewart Services","",50,"2010-04-01 17:58:02","2010-04-01 17:58:02","human","","",09497
293,"Forest Hills Byrd, Young & Prill Chapel","foresthillsbyrd","ByrdYoungandPrill.com","772-879-9300","1170 Southwest Bayshore Boulevard","","Port St. Lucie","FL",34983,"Stewart Services","",50,"2010-04-01 17:59:28","2010-04-01 17:59:28","human","","",09498
295,"Lakeview Funeral Home","lakeviewfuneral","MylakeviewfuneralHome.com","316-684-8200","12100 East 13th Street North","","Wichita","KS",67206,"Stewart Services","",50,"2010-04-01 18:03:32","2011-05-23 12:59:48","human","smyers@stei.com","Sean Myers - Manager",16312
296,"Overland Park Chapel","overlandparkchapel","OverlandParkChapel.com","913-648-6224, 913-544-0400","8201 Metcalf Avenue","","Overland Park","KS",66204,"Stewart Services","",50,"2010-04-01 18:04:55","2011-05-23 13:08:27","human","jswezy@stei.com","Jeff Swezy - Manager",16313
297,"Lake Lawn Metairie Funeral Home","lakelawn","LakeLawnMetairie.com","504-486-6331","5100 Pontchartrain Boulevard","","New Orleans","LA",70124,"Stewart Services","",50,"2010-04-01 18:07:05","2010-04-01 18:07:05","human","","",18321
299,"Hines-Rinaldi Funeral Home","hinesrinaldi","HinesRinaldiFuneralHome.com","301-622-2290","11800 New Hampshire Avenue","","Silver Spring","MD",20904,"Stewart Services","",50,"2010-04-01 18:09:54","2010-04-01 18:09:54","human","","",20331
300,"Simple Tribute Funeral & Cremation Center","simpletribute","SimpleTribute.com","301-545-0960","Edmonston Crossing Shopping Center","","Rockville","MD",20852,"Stewart Services","",50,"2010-04-01 18:11:59","2010-04-01 18:11:59","human","","",20361
301,"White Chapel Funeral Home","whitechapel","DWNWhitechapel.com","816-452-8419","6600 Northeast Antioch Road","","Gladstone","MO",64119,"Stewart Services","",50,"2010-04-01 18:13:15","2011-05-23 13:29:27","human","ckurowski@stei.com","Courtney Kurowski",25315
302,"Floral Hills Funeral Home","floralhills","FloralHillsFuneralhome.com","816-353-1218","7000 Blue Ridge Boulevard","","Kansas City","MO",64133,"Stewart Services","",50,"2010-04-01 18:14:48","2011-05-23 12:56:03","human","kkinsinger@stei.com","Kirk Kinsinger - Manager",25313
303,"McLaurin at Pinecrest Funerals & Cremations","mclaurinpinecrest","McLaurinatPinecrest.com","919-553-7143","12830 U.S. Highway 70 West","","Clayton","NC",27520,"Stewart Services","",50,"2010-04-01 18:17:04","2010-04-01 18:17:04","human","","",33331
304,"Cardinal Cremation Service","cardinalcremation","www.cardinalcremationservice.com","877-556-0001","12830 U.S. Highway 70 West","","Clayton","NC",27520,"Stewart Services","",50,"2010-04-01 18:18:30","2012-10-11 01:29:19","human","","",33332
305,"Westlawn-Hillcrest Funeral Home","westlawnhillcrest","WestlawnHillcrest.com","402-556-2500","5701 Center Street","","Omaha","NE",68106,"Stewart Services","",50,"2010-04-01 18:19:36","2011-05-23 13:28:04","human","jfishler@stei.com","Joe Fishler",27321
306,"Finley-Sunset Hills Mortuary","finleysunsethills","FinleySunsetHills.com","503-292-6654","6801 Southwest Sunset Highway","","Portland","OR",97225,"Stewart Services","",50,"2010-04-01 18:21:02","2010-04-01 18:21:02","human","","",37331
307,"Chapel of the Valley - L.B. Hall Funeral Home","chapelvalley","Chapel-Valley.com","541-479-7581","2065 Upper River Road","","Grants Pass","OR",97526,"Stewart Services","",50,"2010-04-01 18:22:46","2010-04-01 18:22:46","human","","",37321
308,"Dunbar Funerals & Cremations","dunbarfunerals","DunbarFunerals.com","803-771-7990","3926 Devine Street","","Columbia","SC",29205,"Stewart Services","",50,"2010-04-01 18:23:59","2010-04-01 18:23:59","human","","",40322
310,"Palmetto Cremation Service","palmettocremation","","864-878-6661","2402 Gentry Memorial Highway","","Pickens","SC",29671,"Stewart Services","",50,"2010-04-01 18:27:00","2010-04-01 18:27:00","human","","",40336
311,"Guardian Cremation Society","guardiancremation","","","5704 James Avenue","","Fort Worth","TX",76134,"Stewart Services","",50,"2010-04-01 18:28:12","2010-04-01 18:28:12","human","","",43331
312,"Bluebonnet Hills Funeral Home","bluebonnethills","BluebonnetHills.com","817-498-5894","5725 Colleyville Boulevard","","Colleyville","TX",76034,"Stewart Services","",50,"2010-04-01 18:29:24","2010-04-01 18:29:24","human","","",43342
313,"Laurel Land Funeral Home","laurellandfortworth","LaurelLandFortWorth.com","817-293-1350","7100 Crowley Road","","Fort Worth","TX",76134,"Stewart Services","",50,"2010-04-01 18:31:11","2010-04-01 18:31:11","human","","",43343
314,"Laurel Land Funeral Home","laurellanddallas","LaurelLandDallas.com","214-371-1336","6000 South R. L. Thornton Freeway","","Dallas","TX",75232,"Stewart Services","",50,"2010-04-01 18:32:49","2010-04-01 18:32:49","human","","",43344
315,"Metrocrest Funeral Home","metrocrest","MetrocrestHilltop.com","972-242-3646","1810 North Perry Road","","Carrollton","TX",75006,"Stewart Services","",50,"2010-04-01 18:34:08","2010-04-01 18:34:08","human","","",43354
316,"Guardian Funeral Home & Cremation Services","guardianfuneral","GuardianCremation.com","817-293-8477","5704 James Avenue","","Fort Worth","TX",76134,"Stewart Services","",50,"2010-04-01 18:35:19","2010-04-01 18:35:19","human","","",43357
317,"Laurel Land Funeral Home","laurelland","LaurelLandFortWorth.com","817-295-5211","201 West Bufford Street","","Burleson","TX",76028,"Stewart Services","",50,"2010-04-01 18:36:33","2010-04-01 18:36:33","human","","",43364
318,"Restland Coppell Chapel","restlandcoppell","RestlandCoppell.com","972-539-1210","400 South Freeport Parkway","","Coppell","TX",75019,"Stewart Services","",50,"2010-04-01 18:37:54","2010-04-01 18:37:54","human","","",43382
319,"Restland Funeral Home","restlandfuneral","RestlandFuneralHome.com","972-238-7111","9220 Restland Road","","Dallas","TX",75243,"Stewart Services","",50,"2010-04-01 18:39:01","2010-04-01 18:39:01","human","","",43801
320,"Everly-Wheatley Funeral Home","everlywheatley","EverlyFuneralHomes.com","703-998-9200 ","1500 West Braddock Road","","Alexandria","VA",22302,"Stewart Services","",50,"2010-04-01 18:40:10","2010-08-31 14:11:05","human","dmarnell@stei.com","Dean Marnell",46311
321,"Everly Funeral Home","everlyfuneral","EverlyFuneralHomes.com","703-385-1110","10565 Main Street","","Fairfax","VA",22030,"Stewart Services","",50,"2010-04-01 18:41:17","2010-08-31 11:54:25","human","nfingado@stei.com","Neva Fingado",46312
322,"Teague Funeral Service","teaguefuneral","TeagueFuneralHome.com","434-977-0005","2260 Ivy Road","","Charlottesville","VA",22903,"Stewart Services","",50,"2010-04-01 18:42:21","2010-04-01 18:42:21","human","","",46322
323,"Kilgore-Green Funeral Home","kilgoregreen","kilgoregreenfuneralhome.com","205-384-9503","1200 Birmingham Avenue","","Jasper","AL",35501,"Stewart Services","",50,"2010-04-06 18:31:50","2010-04-06 18:31:50","human","","",01311
324,"Lathan Funeral Home","lathanjackson","lathanfuneralhomes.com","251-246-2363","Highway 43 BYP","","Jackson","AL",36545,"Stewart Services","",50,"2010-04-06 18:33:33","2010-04-06 18:33:33","human","","",01321
327,"Pine Crest Funeral Home","pinecrest","pinecrestfuneralhome.com","251-478-5227","1939 Dauphin Island Parkway","","Mobile","AL",36605,"Stewart Services","",50,"2010-04-06 18:38:46","2010-11-11 14:53:28","human","","Richard L Osborn (GM)",01331
328,"Rockco Funeral Home","rockomontevallo","rockofuneralhomes.com","205-665-2135","3715 Highway 25 South","","Montevallo","AL",35115,"Stewart Services","",50,"2010-04-06 18:40:20","2010-04-06 18:40:20","human","","",01334
330,"Valhalla Funeral Home","valhalla","valhallafunerals.com","256-852-8500","700 Winchester Road, NE","","Huntsville","AL",35811,"Stewart Services","",50,"2010-04-06 18:43:32","2010-04-06 18:43:32","human","","",01351
332,"Gross Funeral Home","grossfuneral","grossfuneralhome.com","501-624-1244","120 Wrights Street","","Hot Springs","AR",71913,"Stewart Services","",50,"2010-04-06 18:45:06","2010-04-06 18:45:06","human","","",04311
333,"Griffin Leggett - Forest Hills Funeral Home","griffinleggettalexander","www.griffinleggettforesthills.com","501-455-1067","10200 Highway 5 North","","Alexander","AR",72002,"Stewart Services","",50,"2010-04-06 18:46:50","2012-05-08 13:31:16","human","","",04321
334,"Griffin Leggett - Rest Hills Funeral Home","griffinlittlerock","www.griffinleggettresthills.com","501-835-3515","7724 Landers Road","","North Little Rock","AR",72117,"Stewart Services","",50,"2010-04-06 18:49:21","2012-05-08 13:31:47","human","","",04331
335,"Griffin Leggett Healey & Roth Funeral Home","griffinleggettroth","griffinleggetthealeyroth.com","501-661-9111","5800 West 12th Street","","Little Rock","AR",72204,"Stewart Services","",50,"2010-04-06 18:52:37","2010-04-06 18:52:37","human","","",04351
336,"Griffin Leggett - Conway Funeral Home","griffinconway","griffinleggettconway.com","501-327-5000","1751 Dave Ward Drive","","Conway","AR",72034,"Stewart Services","",50,"2010-04-06 18:53:55","2012-05-16 16:21:22","human","","",04352
337,"Holy Cross Mortuary","holycrossculver","holycrossmortuary.com","310-836-5500","5835 West Slauson Avenue","","Culver City","CA",90230,"Stewart Services","",50,"2010-04-06 18:55:15","2010-04-06 18:55:15","human","","",05371
338,"Calvary Mortuary","calvarymortuary","calvarymortuary.com","323261-3106","4201 Whittier Boulevard","","Los Angeles","CA",90023,"Stewart Services","",50,"2010-04-06 18:57:55","2010-04-06 18:57:55","human","","",05341
339,"Queen of Heaven Mortuary","queenofheaven","queenofheavenmortuary.com","626-964-1291","2161 South Fullerton Road","","Rowland Heights","CA",91748,"Stewart Services","",50,"2010-04-06 18:59:08","2010-04-06 18:59:08","human","","",05421
340,"Palm Memorial Chapel","palmmemorial","palmmemorial.com","559-233-7267","2983 Tulare Street","","Fresno","CA",93721,"Stewart Services","",50,"2010-04-06 19:00:32","2010-04-06 19:00:32","human","","",05331
341,"Funerals La Paz","lapaz","funerarialapazfresno.com","559-237-7700","1022 B Street","","Fresno","CA",93706,"Stewart Services","",50,"2010-04-06 19:02:21","2010-04-06 19:02:21","human","","",05332
342,"All Souls Mortuary","allsouls","allsoulsmortuary.com","562-424-8601","4400 Cherry Avenue","","Long Beach","CA",90807,"Stewart Services","",50,"2010-04-06 19:03:28","2010-04-06 19:03:28","human","","",05311
343,"Mission Hills Catholic Mortuary","missionhills","missionhillsmortuary.com","818-361-7387","11160 Stranwood Avenue","","Mission Hills","CA",91345,"Stewart Services","",50,"2010-04-06 19:04:31","2010-04-06 19:04:31","human","","",05491
344,"Palm Memorial Worden Chapel","palmchowchilla","palmmemorial.com","559-665-3012","140 South 6th Street","","Chowchilla","CA",93610,"Stewart Services","",50,"2010-04-06 19:06:02","2010-04-06 19:06:02","human","","",05333
345,"Palm Memorial Kerman Chapel","palmkerman","palmmemorial.com","559-846-9369","538 South Madera Avenue","","Kerman","CA",93630,"Stewart Services","",50,"2010-04-06 19:07:05","2010-04-06 19:07:05","human","","",05334
346,"Palm Memorial Coalinga Chapel","palmcoalinga","palmmemorial.com","559-935-3338","486 North 5th Street","","Coalinga","CA",93210,"Stewart Services","",50,"2010-04-06 19:08:33","2010-04-06 19:08:33","human","","",05335
347,"Santa Clara Mortuary","santaclara","santaclaramortuary.com","805-485-5757","2370 North H Street","","Oxnard","CA",93036,"Stewart Services","",50,"2010-04-06 19:10:26","2010-04-06 19:10:26","human","","",05501
348,"Mead Mortuary Funerals & Cremations","meadmortuary","meadmortuary.como","760-256-5671","36930 Irwin Road","","Barstow","CA",92311,"Stewart Services","",50,"2010-04-06 19:11:30","2010-04-06 19:11:30","human","","",05321
349,"DeYoung Memorial Chapel (Downtown)","deyoungdowntown","deyoungchapels.com","209-466-8075","601 North California Street","","Stockton","CA",95202,"Stewart Services","",50,"2010-04-06 19:12:58","2012-05-16 16:34:34","human","","",05351
350,"DeYoung Memorial Chapel (North)","deyoungnorth","deyoungchapels.com","209-472-0335","7676 Shoreline Drive","","Stockton","CA",95219,"Stewart Services","",50,"2010-04-06 19:14:02","2012-05-16 16:23:39","human","","",05352
